FRAME PROFILE  slowest 100 frames  peer=P1  (ms; sim/route/render are wall-clock THIS frame incl. rollback resim; phase ms summed over the frame's steps)
ROLLBACK: liveTicks=6260 resimTicks=2312 amplification=1.36933x (1.0 = no rollback; 2.0 = sim ran twice per tick of game time)
tick=2271 frame=23.5546 sim=2.7549 route=0.017 render=2.1289 simTicks=3 resim=0 | cmd=0.012 move=0.0437 vis=0.5247 econ=0.0426 combat=0.9641 route=0.2194 coll=0.4355 (field=0 x0 prewarm=0.0079 x0) | botsP0=173 botsP1=3 stalled=0
tick=4855 frame=23.5218 sim=7.0277 route=0.0228 render=7.0615 simTicks=3 resim=3 | cmd=0.0234 move=0.1555 vis=3.7207 econ=0.0962 combat=3.3438 route=2.6131 coll=2.8496 (field=0.0396 x629 prewarm=0.0459 x0) | botsP0=463 botsP1=3 stalled=0
tick=1506 frame=23.5199 sim=2.0922 route=0.0159 render=1.5886 simTicks=3 resim=1 | cmd=0.0167 move=0.1527 vis=0.2485 econ=0.0306 combat=3.3531 route=0.382 coll=0.229 (field=0 x0 prewarm=0.0104 x0) | botsP0=23 botsP1=3 stalled=0
tick=274 frame=23.4817 sim=0.5062 route=0.0181 render=1.18 simTicks=2 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=3 botsP1=3 stalled=0
tick=830 frame=23.4092 sim=1.8441 route=0.0163 render=1.2055 simTicks=3 resim=0 | cmd=0.0092 move=0.0382 vis=0.1638 econ=0.0197 combat=0.845 route=0.1562 coll=0.153 (field=0 x0 prewarm=0.0076 x0) | botsP0=7 botsP1=3 stalled=0
tick=3315 frame=23.3509 sim=8.9505 route=0.0268 render=2.7311 simTicks=4 resim=0 | cmd=0.0137 move=0.9001 vis=1.4963 econ=0.1494 combat=3.7857 route=0.2973 coll=1.1643 (field=0 x0 prewarm=0.0111 x0) | botsP0=328 botsP1=3 stalled=0
tick=1346 frame=23.2741 sim=1.5642 route=0.0143 render=1.4917 simTicks=2 resim=0 | cmd=0.0083 move=0.0367 vis=0.1298 econ=0.0195 combat=0.7389 route=0.1074 coll=0.1058 (field=0 x0 prewarm=0.0047 x0) | botsP0=8 botsP1=3 stalled=0
tick=4764 frame=23.2399 sim=7.8358 route=0.0212 render=4.6594 simTicks=3 resim=1 | cmd=0.0206 move=0.0932 vis=2.6674 econ=0.0562 combat=2.4281 route=1.952 coll=1.8611 (field=0.0124 x41 prewarm=0.0472 x0) | botsP0=463 botsP1=3 stalled=0
tick=1290 frame=23.2331 sim=2.0285 route=0.0186 render=1.2723 simTicks=3 resim=0 | cmd=0.0107 move=0.0459 vis=0.1726 econ=0.0265 combat=0.9625 route=0.176 coll=0.1569 (field=0 x0 prewarm=0.0095 x0) | botsP0=8 botsP1=3 stalled=0
tick=1861 frame=23.2084 sim=1.8994 route=0.0165 render=1.861 simTicks=2 resim=0 | cmd=0.0148 move=0.0443 vis=0.352 econ=0.0317 combat=0.6958 route=0.1209 coll=0.2246 (field=0 x0 prewarm=0.0052 x0) | botsP0=118 botsP1=3 stalled=0
