FRAME PROFILE  slowest 100 frames  peer=P0  (ms; sim/route/render are wall-clock THIS frame incl. rollback resim; phase ms summed over the frame's steps)
ROLLBACK: liveTicks=6201 resimTicks=0 amplification=1x (1.0 = no rollback; 2.0 = sim ran twice per tick of game time)
tick=5672 frame=15.527 sim=0 route=0 render=6.3752 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=463 botsP1=3 stalled=1
tick=4818 frame=15.451 sim=4.3954 route=0.3918 render=5.3518 simTicks=2 resim=0 | cmd=0.0067 move=0.0419 vis=0.898 econ=0.0224 combat=0.7556 route=0.8796 coll=1.4235 (field=0.0355 x554 prewarm=0.0183 x0) | botsP0=463 botsP1=3 stalled=0
tick=3694 frame=15.4281 sim=4.8372 route=0.0273 render=5.7601 simTicks=2 resim=0 | cmd=0.0083 move=0.0396 vis=1.5796 econ=0.0857 combat=1.9254 route=0.1597 coll=0.6592 (field=0 x0 prewarm=0.0057 x0) | botsP0=428 botsP1=3 stalled=0
tick=5975 frame=15.3596 sim=6.002 route=0.1928 render=3.6989 simTicks=2 resim=0 | cmd=0.006 move=0.0409 vis=1.0131 econ=0.0373 combat=0.7415 route=3.0876 coll=0.7461 (field=0.0033 x1 prewarm=2.7073 x1) | botsP0=463 botsP1=0 stalled=0
tick=5804 frame=15.331 sim=0 route=0 render=7.2362 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=463 botsP1=2 stalled=1
tick=5920 frame=15.098 sim=1.6515 route=0.0976 render=5.9827 simTicks=1 resim=0 | cmd=0.0033 move=0.0191 vis=0.5458 econ=0.0197 combat=0.3272 route=0.2225 coll=0.3652 (field=0 x0 prewarm=0.0045 x0) | botsP0=463 botsP1=1 stalled=0
tick=5891 frame=14.9897 sim=3.3366 route=0.1975 render=4.0442 simTicks=2 resim=0 | cmd=0.006 move=0.0374 vis=1.0107 econ=0.051 combat=0.6882 route=0.4743 coll=0.7536 (field=0 x0 prewarm=0.0081 x0) | botsP0=463 botsP1=1 stalled=0
tick=5958 frame=14.8398 sim=1.6316 route=0.1047 render=6.6145 simTicks=1 resim=0 | cmd=0.0033 move=0.0188 vis=0.5042 econ=0.019 combat=0.3366 route=0.2028 coll=0.3677 (field=0 x0 prewarm=0.0035 x0) | botsP0=463 botsP1=1 stalled=0
tick=3697 frame=14.7796 sim=2.824 route=0.0309 render=5.8898 simTicks=2 resim=0 | cmd=0.0082 move=0.0456 vis=0.9252 econ=0.0493 combat=0.5933 route=0.1441 coll=0.6713 (field=0 x0 prewarm=0.007 x0) | botsP0=433 botsP1=3 stalled=0
tick=4376 frame=14.7696 sim=1.921 route=0.0275 render=5.7796 simTicks=1 resim=0 | cmd=0.0034 move=0.0195 vis=0.4642 econ=0.0138 combat=0.4747 route=0.3053 coll=0.4768 (field=0 x0 prewarm=0.0032 x0) | botsP0=463 botsP1=3 stalled=0
tick=5708 frame=14.7043 sim=0 route=0 render=6.7034 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=463 botsP1=3 stalled=1
tick=4910 frame=14.6772 sim=2.161 route=0.1251 render=4.9369 simTicks=1 resim=0 | cmd=0.0033 move=0.0199 vis=0.458 econ=0.0102 combat=0.411 route=0.3967 coll=0.6684 (field=0.0148 x250 prewarm=0.0094 x0) | botsP0=463 botsP1=3 stalled=0
tick=3217 frame=14.5385 sim=2.1921 route=0.0198 render=4.775 simTicks=2 resim=0 | cmd=0.0068 move=0.0376 vis=0.5989 econ=0.0367 combat=0.593 route=0.1536 coll=0.415 (field=0 x0 prewarm=0.0056 x0) | botsP0=298 botsP1=3 stalled=0
tick=4417 frame=14.4621 sim=1.9168 route=0.2446 render=6.9872 simTicks=1 resim=0 | cmd=0.0033 move=0.0189 vis=0.4896 econ=0.0171 combat=0.4672 route=0.3374 coll=0.3984 (field=0.0102 x212 prewarm=0.009 x0) | botsP0=463 botsP1=3 stalled=0
tick=3556 frame=14.3941 sim=3.5721 route=0.0115 render=4.331 simTicks=1 resim=0 | cmd=0.0539 move=0.0329 vis=0.8895 econ=0.06 combat=1.9813 route=0.0781 coll=0.2818 (field=0 x0 prewarm=0.0034 x0) | botsP0=393 botsP1=3 stalled=0
tick=4657 frame=14.3728 sim=1.8516 route=0.1299 render=7.6565 simTicks=1 resim=0 | cmd=0.0032 move=0.0187 vis=0.4415 econ=0.0105 combat=0.4519 route=0.3332 coll=0.4065 (field=0.0151 x266 prewarm=0.014 x0) | botsP0=463 botsP1=3 stalled=0
tick=6059 frame=14.3451 sim=3.8976 route=0.0755 render=5.4769 simTicks=1 resim=0 | cmd=0.0042 move=0.0209 vis=0.624 econ=0.0182 combat=2.4179 route=0.2041 coll=0.4294 (field=0 x0 prewarm=0.005 x0) | botsP0=463 botsP1=0 stalled=0
