FRAME PROFILE  slowest 100 frames  peer=P0  (ms; sim/route/render are wall-clock THIS frame incl. rollback resim; phase ms summed over the frame's steps)
ROLLBACK: liveTicks=649 resimTicks=84 amplification=1.12943x (1.0 = no rollback; 2.0 = sim ran twice per tick of game time)
tick=214 frame=7.2841 sim=0 route=0 render=6.5285 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=17 frame=7.2814 sim=0.3247 route=0.0085 render=6.3459 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=553 frame=7.28 sim=0 route=0 render=6.2167 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=645 frame=7.2794 sim=0 route=0 render=6.6741 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=47 frame=7.2772 sim=0.3379 route=0.0101 render=6.3966 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=394 frame=7.2757 sim=0 route=0 render=6.687 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=53 frame=7.2755 sim=0.3601 route=0.0128 render=6.2361 simTicks=1 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=34 frame=7.2741 sim=0 route=0 render=6.4882 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=211 frame=7.2724 sim=0 route=0 render=6.6901 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=234 frame=7.2714 sim=0.7767 route=0.0112 render=5.8065 simTicks=1 resim=0 | cmd=0.0032 move=0.013 vis=0.0575 econ=0.0069 combat=0.3292 route=0.0633 coll=0.0657 (field=0 x0 prewarm=0.0043 x0) | botsP0=4 botsP1=3 stalled=0
tick=526 frame=7.266 sim=0.7608 route=0.0091 render=5.8614 simTicks=1 resim=0 | cmd=0.0052 move=0.0146 vis=0.0681 econ=0.0079 combat=0.3222 route=0.0643 coll=0.0639 (field=0 x0 prewarm=0.0045 x0) | botsP0=4 botsP1=3 stalled=0
tick=90 frame=7.2658 sim=0 route=0 render=6.7105 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=237 frame=7.2636 sim=0 route=0 render=6.5027 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=322 frame=7.2633 sim=0 route=0 render=5.5397 simTicks=0 resim=1 | cmd=0.008 move=0.0154 vis=0.0635 econ=0.0069 combat=0.3354 route=0.1812 coll=0.0605 (field=0 x0 prewarm=0.0024 x0) | botsP0=4 botsP1=3 stalled=0
tick=234 frame=7.2633 sim=0 route=0 render=6.6987 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=371 frame=7.2613 sim=0 route=0 render=6.7651 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=225 frame=7.2609 sim=0 route=0 render=6.7579 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=423 frame=7.2602 sim=0 route=0 render=6.7149 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
tick=246 frame=7.2569 sim=0 route=0 render=6.6307 simTicks=0 resim=0 | cmd=0 move=0 vis=0 econ=0 combat=0 route=0 coll=0 (field=0 x0 prewarm=0 x0) | botsP0=4 botsP1=3 stalled=0
